op,variant,weight_format,block_size,size,ns_per_iter,gflops,gbps,sclk_mhz,sclk_mhz_min,sclk_mhz_max,power_w,detail
gemm,naive,q4,128,1024,5025594.650,427.3094,0.0000,2806.6,2802.0,2810.0,119.95,
gemm,naive,q4,128,2048,40387787.250,425.3729,0.0000,2752.8,2740.0,2768.0,119.79,
gemm,naive,q4,128,4096,327800905.000,419.2757,0.0000,2714.9,2704.0,2726.0,120.17,
gemm,tiled,q8,128,256,17006.300,1973.0589,0.0000,2811.0,2811.0,2811.0,119.51,
gemm,tiled,q8,128,512,124276.100,2159.9926,0.0000,2813.0,2813.0,2813.0,119.46,
gemm,tiled,q8,128,1024,864801.100,2483.2111,0.0000,2813.0,2813.0,2813.0,119.74,
gemm,tiled,q8,128,2048,7254555.700,2368.1490,0.0000,2800.0,2786.0,2812.0,120.44,
gemm,tiled,q8,128,4096,59575594.250,2306.9674,0.0000,2728.0,2691.0,2771.0,120.75,
gemm,tiled,q4,128,256,20308.550,1652.2318,0.0000,2720.0,2720.0,2720.0,121.17,
gemm,tiled,q4,128,512,133193.050,2015.3864,0.0000,2527.0,2527.0,2527.0,118.21,
gemm,tiled,q4,128,1024,904787.100,2373.4685,0.0000,2751.0,2751.0,2751.0,119.42,
gemm,tiled,q4,128,2048,7535826.150,2279.7592,0.0000,2748.7,2736.0,2759.0,120.28,
gemm,tiled,q4,128,4096,61044470.125,2251.4562,0.0000,2692.6,2662.0,2727.0,120.34,
gemm,naive,q8,256,256,69455.950,483.1038,0.0000,2711.0,2711.0,2711.0,119.18,
gemm,naive,q8,256,512,539182.450,497.8564,0.0000,2751.3,2751.0,2752.0,119.22,
gemm,naive,q8,256,1024,4720094.200,454.9663,0.0000,2552.3,2547.0,2560.0,119.98,
gemm,naive,q8,256,2048,35144042.643,488.8416,0.0000,2701.3,2678.0,2728.0,119.77,
gemm,naive,q8,256,4096,279458775.000,491.8040,0.0000,2725.5,2714.0,2736.0,119.82,
gemm,naive,q4,256,256,80773.450,415.4141,0.0000,2813.0,2813.0,2813.0,119.75,
gemm,naive,q4,256,512,620082.150,432.9031,0.0000,2813.0,2813.0,2813.0,119.62,
gemm,naive,q4,256,1024,4984624.800,430.8215,0.0000,2811.0,2807.0,2813.0,120.41,
gemm,naive,q4,256,2048,40304766.167,426.2491,0.0000,2785.0,2765.0,2807.0,120.76,
gemm,naive,q4,256,4096,327063905.000,420.2205,0.0000,2730.9,2720.0,2742.0,120.45,
gemm,tiled,q8,256,256,16962.200,1978.1887,0.0000,2813.0,2813.0,2813.0,120.26,
gemm,tiled,q8,256,512,142212.200,1887.5698,0.0000,2539.0,2539.0,2539.0,120.00,
gemm,tiled,q8,256,1024,987878.950,2173.8328,0.0000,2568.8,2567.0,2570.0,120.39,
gemm,tiled,q8,256,2048,7191694.300,2388.8486,0.0000,2778.4,2767.0,2787.0,120.35,
gemm,tiled,q8,256,4096,58835964.000,2335.9684,0.0000,2745.4,2712.0,2785.0,121.59,
gemm,tiled,q4,256,256,17334.900,1935.6577,0.0000,2813.0,2813.0,2813.0,120.92,
gemm,tiled,q4,256,512,129504.050,2072.7958,0.0000,2813.0,2813.0,2813.0,120.17,
gemm,tiled,q4,256,1024,881783.350,2435.3869,0.0000,2813.7,2813.0,2814.0,119.94,
gemm,tiled,q4,256,2048,7349892.850,2337.4312,0.0000,2803.7,2791.0,2813.0,122.72,
gemm,tiled,q4,256,4096,59934436.125,2293.1550,0.0000,2750.0,2717.0,2787.0,121.50,
gemm,naive,q8,512,512,513998.600,522.2494,0.0000,2780.3,2780.0,2781.0,134.22,
gemm,naive,q8,512,1024,3936238.900,545.5674,0.0000,2818.1,2815.0,2821.0,136.12,
gemm,naive,q8,512,2048,32001520.600,536.8454,0.0000,2832.2,2821.0,2839.0,139.91,
gemm,naive,q8,512,4096,264856350.000,518.9189,0.0000,2831.2,2824.0,2833.0,142.43,
gemm,naive,q4,512,512,606991.250,442.2394,0.0000,2786.3,2786.0,2787.0,136.97,
gemm,naive,q4,512,1024,4734936.400,453.5401,0.0000,2818.4,2815.0,2822.0,138.90,
gemm,naive,q4,512,2048,37811768.923,454.3524,0.0000,2836.7,2823.0,2846.0,142.81,
gemm,naive,q4,512,4096,305643366.000,449.6710,0.0000,2842.5,2841.0,2843.0,144.71,
gemm,tiled,q8,512,512,121035.950,2217.8159,0.0000,2767.0,2767.0,2767.0,137.16,
gemm,tiled,q8,512,1024,833205.100,2577.3770,0.0000,2814.7,2814.0,2815.0,139.19,
gemm,tiled,q8,512,2048,6689971.000,2568.0035,0.0000,2814.8,2814.0,2816.0,139.89,
gemm,tiled,q8,512,4096,53553953.111,2566.3643,0.0000,2817.3,2817.0,2818.0,145.70,
gemm,tiled,q4,512,512,127069.400,2112.5106,0.0000,2779.0,2779.0,2779.0,136.99,
gemm,tiled,q4,512,1024,863482.600,2487.0028,0.0000,2813.7,2813.0,2814.0,138.57,
gemm,tiled,q4,512,2048,6880474.950,2496.9016,0.0000,2816.6,2815.0,2818.0,141.10,
gemm,tiled,q4,512,4096,55962792.111,2455.8988,0.0000,2809.8,2806.0,2819.0,145.75,
gemm,naive,q8,1024,1024,3940202.400,545.0186,0.0000,2789.6,2785.0,2794.0,140.47,
gemm,naive,q8,1024,2048,31679009.133,542.3108,0.0000,2837.3,2822.0,2851.0,144.85,
gemm,naive,q8,1024,4096,258902918.000,530.8513,0.0000,2847.7,2844.0,2850.0,149.33,
gemm,naive,q4,1024,1024,4739629.350,453.0911,0.0000,2795.6,2791.0,2800.0,139.33,
gemm,naive,q4,1024,2048,37744296.154,455.1646,0.0000,2838.1,2823.0,2850.0,143.65,
gemm,naive,q4,1024,4096,306348105.000,448.6365,0.0000,2838.8,2837.0,2840.0,145.64,
gemm,tiled,q8,1024,1024,835032.550,2571.7365,0.0000,2768.2,2767.0,2769.0,136.17,
gemm,tiled,q8,1024,2048,6669802.700,2575.7687,0.0000,2814.8,2814.0,2816.0,139.51,
gemm,tiled,q8,1024,4096,54382002.000,2527.2875,0.0000,2803.6,2797.0,2814.0,144.26,
gemm,tiled,q4,1024,1024,864959.400,2482.7566,0.0000,2782.5,2782.0,2783.0,135.38,
gemm,tiled,q4,1024,2048,6901278.500,2489.3749,0.0000,2814.8,2814.0,2816.0,138.25,
gemm,tiled,q4,1024,4096,56309415.222,2440.7810,0.0000,2808.2,2800.0,2815.0,142.71,
gemm,coopmat,fp16,0,256,5905.200,5682.1838,0.0000,2814.0,2814.0,2814.0,140.67,
