tokens,up_kernel,down_kernel,experts_touched,up_tiles,up_rows_exec,down_tiles,down_rows_exec,dispatch,us_per_layer,ms_per_graph,gflops,weight_gbps
1,m4,w4m1/k40,10,10,640,10,640,block,731.239,35.1,,
1,w2m1,m1/k40,10,10,320,20,320,router,4.265,0.2,615.8,617.0
1,w2m1,m1/k40,10,10,320,20,320,router.sum,0.832,0.0,0.0,0.0
1,w2m1,m1/k40,10,10,320,20,320,route,5.814,0.3,0.0,0.0
1,w2m1,m1/k40,10,10,320,20,320,perm.up,2.950,0.1,0.0,0.0
1,w2m1,m1/k40,10,10,320,20,320,perm.down,2.995,0.1,0.0,0.0
1,w2m1,m1/k40,10,10,320,20,320,up,246.030,11.8,8524.0,74.9
1,w2m1,m1/k40,10,10,320,20,320,down,87.401,4.2,11997.3,140.6
1,w2m1,m1/k40,10,10,320,20,320,shexp.up,146.573,7.0,44.7,23.8
1,w2m1,m1/k40,10,10,320,20,320,shexp.down,12.334,0.6,265.7,141.1
1,w2m1,m1/k40,10,10,320,20,320,combine,2.731,0.1,0.0,45.0
1,w2m1,m1/k40,10,10,320,20,320,block,511.925,24.6,,
1,w2m1,m2/k40,10,10,320,10,320,router,4.304,0.2,610.3,611.4
1,w2m1,m2/k40,10,10,320,10,320,router.sum,0.877,0.0,0.0,0.0
1,w2m1,m2/k40,10,10,320,10,320,route,5.841,0.3,0.0,0.0
1,w2m1,m2/k40,10,10,320,10,320,perm.up,2.953,0.1,0.0,0.0
1,w2m1,m2/k40,10,10,320,10,320,perm.down,2.944,0.1,0.0,0.0
1,w2m1,m2/k40,10,10,320,10,320,up,245.196,11.8,8553.0,75.2
1,w2m1,m2/k40,10,10,320,10,320,down,85.019,4.1,12333.4,144.5
1,w2m1,m2/k40,10,10,320,10,320,shexp.up,146.395,7.0,44.8,23.8
1,w2m1,m2/k40,10,10,320,10,320,shexp.down,14.162,0.7,231.4,122.9
1,w2m1,m2/k40,10,10,320,10,320,combine,2.730,0.1,0.0,45.0
1,w2m1,m2/k40,10,10,320,10,320,block,510.421,24.5,,
1,w2m1,m4/k40,10,20,640,10,640,router,4.320,0.2,608.0,609.2
1,w2m1,m4/k40,10,20,640,10,640,router.sum,0.842,0.0,0.0,0.0
1,w2m1,m4/k40,10,20,640,10,640,route,5.823,0.3,0.0,0.0
1,w2m1,m4/k40,10,20,640,10,640,perm.up,3.054,0.1,0.0,0.0
1,w2m1,m4/k40,10,20,640,10,640,perm.down,2.994,0.1,0.0,0.0
1,w2m1,m4/k40,10,20,640,10,640,up,515.854,24.8,8130.8,35.7
1,w2m1,m4/k40,10,20,640,10,640,down,98.931,4.7,21198.1,124.2
1,w2m1,m4/k40,10,20,640,10,640,shexp.up,145.684,7.0,45.0,23.9
1,w2m1,m4/k40,10,20,640,10,640,shexp.down,22.161,1.1,147.9,78.6
1,w2m1,m4/k40,10,20,640,10,640,combine,2.749,0.1,0.0,44.7
1,w2m1,m4/k40,10,20,640,10,640,block,802.412,38.5,,
