tokens,down_kernel,up_kernel,dispatch,us_per_mixer,us_per_graph,gflops,gbps
1,down_gemv80,up_m2,norm,4.628,0.4,0.0,13.3
1,down_gemv80,up_m2,down,21.588,2.1,318.8,193.1
1,down_gemv80,up_m2,down_reduce,1.117,0.1,0.0,0.0
1,down_gemv80,up_m2,up,21.198,2.1,309.2,165.2
1,down_gemv80,up_m2,combine,2.613,0.3,0.0,35.3
1,down_gemv80,up_m2,block,51.144,5.0,,
1,down_gemv80,up_m4,norm,4.636,0.4,0.0,13.3
1,down_gemv80,up_m4,down,21.630,2.1,318.1,192.7
1,down_gemv80,up_m4,down_reduce,1.112,0.1,0.0,0.0
1,down_gemv80,up_m4,up,30.779,3.0,212.9,113.8
1,down_gemv80,up_m4,combine,2.613,0.3,0.0,35.3
1,down_gemv80,up_m4,block,60.770,5.9,,
1,down_gemv80,up_m8,norm,4.624,0.4,0.0,13.3
1,down_gemv80,up_m8,down,21.752,2.1,316.4,191.6
1,down_gemv80,up_m8,down_reduce,1.107,0.1,0.0,0.0
1,down_gemv80,up_m8,up,50.518,4.9,129.7,69.3
1,down_gemv80,up_m8,combine,2.608,0.3,0.0,35.3
1,down_gemv80,up_m8,block,80.609,7.8,,
1,down_gemv160,up_m1,norm,4.621,0.4,0.0,13.3
1,down_gemv160,up_m1,down,13.554,1.3,507.7,307.5
1,down_gemv160,up_m1,down_reduce,1.718,0.2,0.0,0.0
1,down_gemv160,up_m1,up,16.136,1.6,406.1,217.0
1,down_gemv160,up_m1,combine,2.616,0.3,0.0,35.2
1,down_gemv160,up_m1,block,38.645,3.7,,
1,down_gemv160,up_m2,norm,4.627,0.4,0.0,13.3
1,down_gemv160,up_m2,down,13.533,1.3,508.5,308.0
1,down_gemv160,up_m2,down_reduce,1.724,0.2,0.0,0.0
1,down_gemv160,up_m2,up,21.050,2.0,311.3,166.4
1,down_gemv160,up_m2,combine,2.617,0.3,0.0,35.2
1,down_gemv160,up_m2,block,43.551,4.2,,
1,down_gemv160,up_m4,norm,4.632,0.4,0.0,13.3
1,down_gemv160,up_m4,down,13.578,1.3,506.8,306.9
1,down_gemv160,up_m4,down_reduce,1.711,0.2,0.0,0.0
1,down_gemv160,up_m4,up,31.002,3.0,211.4,113.0
1,down_gemv160,up_m4,combine,2.614,0.3,0.0,35.3
1,down_gemv160,up_m4,block,53.537,5.2,,
1,down_gemv160,up_m8,norm,4.617,0.4,0.0,13.3
1,down_gemv160,up_m8,down,13.714,1.3,501.8,303.9
1,down_gemv160,up_m8,down_reduce,1.722,0.2,0.0,0.0
1,down_gemv160,up_m8,up,49.791,4.8,131.6,70.3
1,down_gemv160,up_m8,combine,2.613,0.3,0.0,35.3
1,down_gemv160,up_m8,block,72.457,7.0,,
64,down_m1,up_m1,norm,8.429,0.8,0.0,466.5
64,down_m1,up_m1,down,205.371,19.9,2144.4,26.6
64,down_m1,up_m1,up,39.035,3.8,10745.0,122.8
64,down_m1,up_m1,combine,16.616,1.6,0.0,355.0
64,down_m1,up_m1,block,269.451,26.1,,
64,down_m1,up_m2,norm,9.474,0.9,0.0,415.0
64,down_m1,up_m2,down,204.298,19.8,2155.7,26.7
64,down_m1,up_m2,up,34.833,3.4,12041.2,137.6
64,down_m1,up_m2,combine,16.615,1.6,0.0,355.0
64,down_m1,up_m2,block,265.220,25.7,,
64,down_m1,up_m4,norm,9.484,0.9,0.0,414.6
64,down_m1,up_m4,down,204.758,19.9,2150.8,26.7
64,down_m1,up_m4,up,30.867,3.0,13588.3,155.3
64,down_m1,up_m4,combine,16.510,1.6,0.0,357.3
64,down_m1,up_m4,block,261.619,25.4,,
64,down_m1,up_m8,norm,9.480,0.9,0.0,414.8
