tokens,cells,attn_kernel,gemm_kernel,out_kernel,dispatch,us_per_layer,us_per_graph,gflops,gbps
128,2048,qt1_kt2,gemm_m2,gemm_m4,layer,1183.387,14.2,,
128,2048,qt1_kt2,gemm_m2,gemm_m8,qkv,917.076,11.0,9970.4,78.6
128,2048,qt1_kt2,gemm_m2,gemm_m8,pack,15.730,0.2,0.0,350.0
128,2048,qt1_kt2,gemm_m2,gemm_m8,idx,4.053,0.0,0.0,0.0
128,2048,qt1_kt2,gemm_m2,gemm_m8,score,19.500,0.2,3441.5,0.0
128,2048,qt1_kt2,gemm_m2,gemm_m8,attn,22.129,0.3,9097.9,0.0
128,2048,qt1_kt2,gemm_m2,gemm_m8,out,284.202,3.4,14167.9,116.2
128,2048,qt1_kt2,gemm_m2,gemm_m8,layer,1262.690,15.2,,
128,2048,qt1_kt2,gemm_m4,gemm_m2,qkv,542.143,6.5,16865.6,133.0
128,2048,qt1_kt2,gemm_m4,gemm_m2,pack,15.423,0.2,0.0,356.9
128,2048,qt1_kt2,gemm_m4,gemm_m2,idx,3.986,0.0,0.0,0.0
128,2048,qt1_kt2,gemm_m4,gemm_m2,score,19.243,0.2,3487.4,0.0
128,2048,qt1_kt2,gemm_m4,gemm_m2,attn,21.985,0.3,9157.5,0.0
128,2048,qt1_kt2,gemm_m4,gemm_m2,out,193.504,2.3,20808.5,170.7
128,2048,qt1_kt2,gemm_m4,gemm_m2,layer,796.284,9.6,,
128,2048,qt1_kt2,gemm_m4,gemm_m4,qkv,548.387,6.6,16673.6,131.5
128,2048,qt1_kt2,gemm_m4,gemm_m4,pack,15.503,0.2,0.0,355.1
128,2048,qt1_kt2,gemm_m4,gemm_m4,idx,3.992,0.0,0.0,0.0
128,2048,qt1_kt2,gemm_m4,gemm_m4,score,19.327,0.2,3472.3,0.0
128,2048,qt1_kt2,gemm_m4,gemm_m4,attn,22.412,0.3,8983.0,0.0
128,2048,qt1_kt2,gemm_m4,gemm_m4,out,206.068,2.5,19539.8,160.3
128,2048,qt1_kt2,gemm_m4,gemm_m4,layer,815.689,9.8,,
128,2048,qt1_kt2,gemm_m4,gemm_m8,qkv,545.670,6.5,16756.6,132.1
128,2048,qt1_kt2,gemm_m4,gemm_m8,pack,15.560,0.2,0.0,353.8
128,2048,qt1_kt2,gemm_m4,gemm_m8,idx,4.011,0.0,0.0,0.0
128,2048,qt1_kt2,gemm_m4,gemm_m8,score,19.208,0.2,3493.8,0.0
128,2048,qt1_kt2,gemm_m4,gemm_m8,attn,22.398,0.3,8988.6,0.0
128,2048,qt1_kt2,gemm_m4,gemm_m8,out,285.438,3.4,14106.5,115.7
128,2048,qt1_kt2,gemm_m4,gemm_m8,layer,892.285,10.7,,
128,2048,qt1_kt2,gemm_m8,gemm_m2,qkv,453.246,5.4,20173.6,159.1
128,2048,qt1_kt2,gemm_m8,gemm_m2,pack,16.345,0.2,0.0,336.8
128,2048,qt1_kt2,gemm_m8,gemm_m2,idx,4.078,0.0,0.0,0.0
128,2048,qt1_kt2,gemm_m8,gemm_m2,score,19.551,0.2,3432.5,0.0
128,2048,qt1_kt2,gemm_m8,gemm_m2,attn,22.987,0.3,8758.3,0.0
128,2048,qt1_kt2,gemm_m8,gemm_m2,out,198.394,2.4,20295.6,166.5
128,2048,qt1_kt2,gemm_m8,gemm_m2,layer,714.601,8.6,,
128,2048,qt1_kt2,gemm_m8,gemm_m4,qkv,453.223,5.4,20174.6,159.1
128,2048,qt1_kt2,gemm_m8,gemm_m4,pack,16.492,0.2,0.0,333.8
128,2048,qt1_kt2,gemm_m8,gemm_m4,idx,4.101,0.0,0.0,0.0
128,2048,qt1_kt2,gemm_m8,gemm_m4,score,19.510,0.2,3439.7,0.0
128,2048,qt1_kt2,gemm_m8,gemm_m4,attn,22.913,0.3,8786.6,0.0
128,2048,qt1_kt2,gemm_m8,gemm_m4,out,207.066,2.5,19445.6,159.5
128,2048,qt1_kt2,gemm_m8,gemm_m4,layer,723.305,8.7,,
128,2048,qt1_kt2,gemm_m8,gemm_m8,qkv,453.384,5.4,20167.4,159.0
128,2048,qt1_kt2,gemm_m8,gemm_m8,pack,15.664,0.2,0.0,351.4
128,2048,qt1_kt2,gemm_m8,gemm_m8,idx,4.008,0.0,0.0,0.0
128,2048,qt1_kt2,gemm_m8,gemm_m8,score,19.436,0.2,3452.8,0.0
128,2048,qt1_kt2,gemm_m8,gemm_m8,attn,22.105,0.3,9107.7,0.0
128,2048,qt1_kt2,gemm_m8,gemm_m8,out,286.214,3.4,14068.3,115.4
128,2048,qt1_kt2,gemm_m8,gemm_m8,layer,800.811,9.6,,
128,2048,qt1_kt4,gemm_m2,gemm_m2,qkv,911.892,10.9,10027.0,79.1
128,2048,qt1_kt4,gemm_m2,gemm_m2,pack,15.621,0.2,0.0,352.4
128,2048,qt1_kt4,gemm_m2,gemm_m2,idx,3.988,0.0,0.0,0.0
128,2048,qt1_kt4,gemm_m2,gemm_m2,score,19.368,0.2,3464.9,0.0
128,2048,qt1_kt4,gemm_m2,gemm_m2,attn,30.653,0.4,6567.9,0.0
128,2048,qt1_kt4,gemm_m2,gemm_m2,out,192.236,2.3,20945.8,171.8
128,2048,qt1_kt4,gemm_m2,gemm_m2,layer,1173.758,14.1,,
128,2048,qt1_kt4,gemm_m2,gemm_m4,qkv,923.137,11.1,9904.9,78.1
128,2048,qt1_kt4,gemm_m2,gemm_m4,pack,15.776,0.2,0.0,348.9
128,2048,qt1_kt4,gemm_m2,gemm_m4,idx,4.033,0.0,0.0,0.0
128,2048,qt1_kt4,gemm_m2,gemm_m4,score,19.210,0.2,3493.4,0.0
128,2048,qt1_kt4,gemm_m2,gemm_m4,attn,30.855,0.4,6524.9,0.0
128,2048,qt1_kt4,gemm_m2,gemm_m4,out,205.728,2.5,19572.1,160.6
