tokens,up_kernel,down_kernel,experts_touched,up_tiles,up_rows_exec,down_tiles,down_rows_exec,dispatch,us_per_layer,ms_per_graph,gflops,weight_gbps
512,w2m1,w2m1,274,372,11904,372,11904,perm.up,18.394,0.9,0.0,0.0
512,w2m1,w2m1,274,372,11904,372,11904,perm.down,18.026,0.9,0.0,0.0
512,w2m1,w2m1,274,372,11904,372,11904,up,8626.606,414.1,9043.4,58.5
512,w2m1,w2m1,274,372,11904,372,11904,down,2901.769,139.3,13442.5,116.0
512,w2m1,w2m1,274,372,11904,372,11904,shexp.up,297.116,14.3,11293.4,11.7
512,w2m1,w2m1,274,372,11904,372,11904,shexp.down,96.062,4.6,17465.0,18.1
512,w2m1,w2m1,274,372,11904,372,11904,combine,448.788,21.5,0.0,140.2
512,w2m1,w2m1,274,372,11904,372,11904,block,12526.532,601.3,,
512,w2m1,w4m1,274,624,19968,312,19968,router,104.494,5.0,12869.6,50.2
512,w2m1,w4m1,274,624,19968,312,19968,route,14.988,0.7,0.0,0.0
512,w2m1,w4m1,274,624,19968,312,19968,perm.up,20.975,1.0,0.0,0.0
512,w2m1,w4m1,274,624,19968,312,19968,perm.down,19.525,0.9,0.0,0.0
512,w2m1,w4m1,274,624,19968,312,19968,up,12404.272,595.4,10549.8,40.7
512,w2m1,w4m1,274,624,19968,312,19968,down,3470.281,166.6,18854.7,97.0
512,w2m1,w4m1,274,624,19968,312,19968,shexp.up,301.035,14.4,11146.4,11.6
512,w2m1,w4m1,274,624,19968,312,19968,shexp.down,83.270,4.0,20148.0,20.9
512,w2m1,w4m1,274,624,19968,312,19968,combine,484.873,23.3,0.0,129.8
512,w2m1,w4m1,274,624,19968,312,19968,block,16903.713,811.4,,
512,w4m1,m1,274,312,19968,1248,19968,router,111.980,5.4,12009.3,46.9
512,w4m1,m1,274,312,19968,1248,19968,route,16.399,0.8,0.0,0.0
512,w4m1,m1,274,312,19968,1248,19968,perm.up,21.368,1.0,0.0,0.0
512,w4m1,m1,274,312,19968,1248,19968,perm.down,22.306,1.1,0.0,0.0
512,w4m1,m1,274,312,19968,1248,19968,up,9040.529,433.9,14475.1,55.9
512,w4m1,m1,274,312,19968,1248,19968,down,4448.925,213.5,14707.2,75.7
512,w4m1,m1,274,312,19968,1248,19968,shexp.up,309.419,14.9,10844.3,11.3
512,w4m1,m1,274,312,19968,1248,19968,shexp.down,101.488,4.9,16531.2,17.2
512,w4m1,m1,274,312,19968,1248,19968,combine,463.047,22.2,0.0,135.9
512,w4m1,m1,274,312,19968,1248,19968,block,14535.461,697.7,,
512,w4m1,m2,274,312,19968,624,19968,router,104.983,5.0,12809.7,50.0
512,w4m1,m2,274,312,19968,624,19968,route,15.381,0.7,0.0,0.0
512,w4m1,m2,274,312,19968,624,19968,perm.up,19.949,1.0,0.0,0.0
512,w4m1,m2,274,312,19968,624,19968,perm.down,20.214,1.0,0.0,0.0
512,w4m1,m2,274,312,19968,624,19968,up,9052.936,434.5,14455.2,55.8
512,w4m1,m2,274,312,19968,624,19968,down,3685.105,176.9,17755.6,91.4
512,w4m1,m2,274,312,19968,624,19968,shexp.up,306.085,14.7,10962.5,11.4
512,w4m1,m2,274,312,19968,624,19968,shexp.down,66.999,3.2,25041.0,26.0
512,w4m1,m2,274,312,19968,624,19968,combine,466.414,22.4,0.0,134.9
