tokens,scan_kernel,operands,regs_per_lane,workgroups,qk_reread,gemm_kernel,out_kernel,dispatch,us_per_layer,us_per_graph,gflops,gbps
1,l8,reg,48,768,16,gemm_m4/k8,gemm_m2/k4,conv,1.750,0.1,0.0,46.8
1,l8,reg,48,768,16,gemm_m4/k8,gemm_m2/k4,scan,9.530,0.3,660.2,747.9
1,l8,reg,48,768,16,gemm_m4/k8,gemm_m2/k4,norm,1.131,0.0,0.0,54.3
1,l8,reg,48,768,16,gemm_m4/k8,gemm_m2/k4,out,21.607,0.8,1455.9,1456.5
1,l8,reg,48,768,16,gemm_m4/k8,gemm_m2/k4,out.sum,0.727,0.0,0.0,0.0
1,l8,reg,48,768,16,gemm_m4/k8,gemm_m2/k4,hist,0.801,0.0,0.0,0.0
1,l8,reg,48,768,16,gemm_m4/k8,gemm_m2/k4,layer,84.408,3.0,,
1,l8,reg,48,768,16,gemm_m4/k8,gemm_m2/k8,qkv,47.731,1.7,1767.8,1767.9
1,l8,reg,48,768,16,gemm_m4/k8,gemm_m2/k8,qkv.sum,1.233,0.0,0.0,0.0
1,l8,reg,48,768,16,gemm_m4/k8,gemm_m2/k8,conv,1.732,0.1,0.0,47.3
1,l8,reg,48,768,16,gemm_m4/k8,gemm_m2/k8,scan,9.630,0.3,653.3,740.1
1,l8,reg,48,768,16,gemm_m4/k8,gemm_m2/k8,norm,1.118,0.0,0.0,55.0
1,l8,reg,48,768,16,gemm_m4/k8,gemm_m2/k8,out,20.820,0.7,1510.9,1511.5
1,l8,reg,48,768,16,gemm_m4/k8,gemm_m2/k8,out.sum,0.768,0.0,0.0,0.0
1,l8,reg,48,768,16,gemm_m4/k8,gemm_m2/k8,hist,0.799,0.0,0.0,0.0
1,l8,reg,48,768,16,gemm_m4/k8,gemm_m2/k8,layer,83.831,3.0,,
1,l8,reg,48,768,16,gemm_m4/k8,gemm_m2/k16,qkv,47.485,1.7,1776.9,1777.0
1,l8,reg,48,768,16,gemm_m4/k8,gemm_m2/k16,qkv.sum,1.239,0.0,0.0,0.0
1,l8,reg,48,768,16,gemm_m4/k8,gemm_m2/k16,conv,2.135,0.1,0.0,38.4
1,l8,reg,48,768,16,gemm_m4/k8,gemm_m2/k16,scan,9.409,0.3,668.7,757.5
1,l8,reg,48,768,16,gemm_m4/k8,gemm_m2/k16,norm,1.120,0.0,0.0,54.9
1,l8,reg,48,768,16,gemm_m4/k8,gemm_m2/k16,out,17.695,0.6,1777.7,1778.4
1,l8,reg,48,768,16,gemm_m4/k8,gemm_m2/k16,out.sum,0.866,0.0,0.0,0.0
1,l8,reg,48,768,16,gemm_m4/k8,gemm_m2/k16,hist,0.803,0.0,0.0,0.0
1,l8,reg,48,768,16,gemm_m4/k8,gemm_m2/k16,layer,80.752,2.9,,
1,l8,reg,48,768,16,gemm_m4/k8,gemm_m2/k32,qkv,47.732,1.7,1767.7,1767.8
1,l8,reg,48,768,16,gemm_m4/k8,gemm_m2/k32,qkv.sum,1.245,0.0,0.0,0.0
1,l8,reg,48,768,16,gemm_m4/k8,gemm_m2/k32,conv,2.177,0.1,0.0,37.6
1,l8,reg,48,768,16,gemm_m4/k8,gemm_m2/k32,scan,9.596,0.3,655.6,742.7
1,l8,reg,48,768,16,gemm_m4/k8,gemm_m2/k32,norm,1.122,0.0,0.0,54.8
1,l8,reg,48,768,16,gemm_m4/k8,gemm_m2/k32,out,17.966,0.6,1750.9,1751.6
1,l8,reg,48,768,16,gemm_m4/k8,gemm_m2/k32,out.sum,1.107,0.0,0.0,0.0
1,l8,reg,48,768,16,gemm_m4/k8,gemm_m2/k32,hist,0.805,0.0,0.0,0.0
1,l8,reg,48,768,16,gemm_m4/k8,gemm_m2/k32,layer,81.750,2.9,,
